"Promoter Name"	"Absolute-Plus-1-Position"	"Component-Of"
PM0-45373	2560102	COLI-K12-51
PM0-45669	3297961	COLI-K12-66
PM0-45741	3497455	COLI-K12-70
PM0-10073	2079349	COLI-K12-41 // TU0-13487
PM0-10156	3929151	COLI-K12-78 // TU0-14031
PM0-46034	4432105	COLI-K12-88
PM0-46106	4607367	COLI-K12-92
PM0-3281	2481470	COLI-K12-49 // TU0-3101
PM0-36237	1439053	COLI-K12-28 // TU0-8698
PM0-8042	3579134	COLI-K12-71 // TU0-7662
PM0-8737	517714	COLI-K12-10 // TU0-8356
PM0-44557	660683	COLI-K12-13
PM0-44628	838497	COLI-K12-16
PM0-9836		TU0-14206
PM0-9989	628515	COLI-K12-12 // TU0-14617
PM0-44924	1500393	COLI-K12-30
PM0-44996	1655438	COLI-K12-33
PM00376	1799370	COLI-K12-36 // TU0-3304
PM00463	3880613	COLI-K12-77 // TU0-1194
PM0-45285	2318001	COLI-K12-46
PM0-45357	2515914	COLI-K12-50
PM442	960388	COLI-K12-19 // TU361
PM961	930254	COLI-K12-18 // TU00254
PM0-45653	3265838	COLI-K12-65
PM0-45725	3421729	COLI-K12-68
PM0-10056	1777352	COLI-K12-35 // TU0-8710
PM0-10135	3378676	COLI-K12-67 // TU0-13898
PM0-46018	4372426	COLI-K12-87
PM0-46090	4576085	COLI-K12-91
PM0-2585	367752	COLI-K12-7 // TU0-2405
PM0-36222	118703	COLI-K12-2 // TU00237
PM0-7781	1290628	COLI-K12-25 // TU0-7441
PM0-8704	1277044	COLI-K12-25 // TU0-8324
PM0-44541	607279	COLI-K12-12
PM0-44613	788121	COLI-K12-15
PM0-9814		TU0-14531
PM0-9973	395543	COLI-K12-7 // TU0-14612
PM0-44908	1485255	COLI-K12-29
PM0-44980	1631608	COLI-K12-32
PM00360	1078433	COLI-K12-21 // TU122
PM00444	3451464	COLI-K12-69 // TU00347
PM0-45270	2276468	COLI-K12-45
PM0-45341	2461004	COLI-K12-49
PM340	2246582	COLI-K12-45 // TU0-6404
PM761	4044963	COLI-K12-81 // TU661
PM0-45637	3250285	COLI-K12-65
PM0-45709	3387403	COLI-K12-67
PM0-10039	1490463	COLI-K12-29 // TU0-14627
PM0-10118	3039304	COLI-K12-60 // TU0-8749
PM0-46002	4295174	COLI-K12-86
PM0-46074	4518404	COLI-K12-90
PM0-2083	3372788	COLI-K12-67 // TU0-1902
PM0-36192	3632766	COLI-K12-72 // TU0-8586
PM0-7502	3806261	COLI-K12-76 // TU0-7161
PM0-8582	3066148	COLI-K12-61 // TU0-8202
PM0-44525	567974	COLI-K12-11
PM0-44597	748408	COLI-K12-15
PM0-9795	1998434	COLI-K12-40 // TU0-14515
PM0-9956	8191	COLI-K12-0 // TU0-8121
PM0-44892	1423243	COLI-K12-28
PM0-44964	1586322	COLI-K12-31
PM00343	611910	COLI-K12-12 // TU00270
PM00426	2907819	COLI-K12-58 // TU0-6428
PM0-45255	2247678	COLI-K12-45
PM0-45325	2421734	COLI-K12-48
PM321	4440284	COLI-K12-89 // TU241
PM65	2060002	COLI-K12-41 // TU65
PM0-45621	3224092	COLI-K12-64
PM0-45693	3367584	COLI-K12-67
PM0-10021	1211313	COLI-K12-24 // TU0-13156
PM0-10099	2637392	COLI-K12-52 // TU0-14648
PM0-45986	4240293	COLI-K12-85
PM0-46058	4494289	COLI-K12-90
PM0-1781	3371642	COLI-K12-67 // TU0-42543 // TU0-1601
PM0-36147	3229646	COLI-K12-64 // TU0-13853
PM0-6881	3276888	COLI-K12-65 // TU0-6581
PM0-8424		TU0-8044
PM0-44509	530586	COLI-K12-10
PM0-44581	682705	COLI-K12-13
PM0-9773		TU0-14308
PM0-9870		TU0-14567
PM0-44876	1415835	COLI-K12-28
PM0-44948	1542890	COLI-K12-30
PM00327	180845	COLI-K12-3 // TU584
PM00410	2531623	COLI-K12-50 // TU00482
PM0-45240	2220174	COLI-K12-44
PM0-45309	2383782	COLI-K12-47
PM196	4638535	COLI-K12-92 // TU345
PM586	4198199	COLI-K12-84 // TU486
PM0-45605	3190077	COLI-K12-63
PM0-45677	3325000	COLI-K12-66
PM0-10002	918326	COLI-K12-18 // TU0-8513
PM0-10081	2192291	COLI-K12-43 // TU0-13519
PM0-45970	4141976	COLI-K12-83
PM0-46042	4447840	COLI-K12-89
PM0-15	3644135	COLI-K12-73 // TU0-14
PM0-3343	770591	COLI-K12-15 // TU0-3163
PM0-5661	499275	COLI-K12-10 // TU0-5421
PM0-8183	1717772	COLI-K12-34 // TU0-7803
PM0-44493	490103	COLI-K12-9
PM0-44565	664445	COLI-K12-13
PM0-9757		TU0-13646
PM0-9846		TU0-13113
PM0-44860	1368209	COLI-K12-27
PM0-44932	1509477	COLI-K12-30
PM00308	3056478	COLI-K12-61 // TU00224
PM00384	1931133	COLI-K12-38 // TU25
PM0-45225	2181823	COLI-K12-43
PM0-45293	2354712	COLI-K12-47
PM171	1906816	COLI-K12-38 // TU0-2447
PM501	2522932	COLI-K12-50 // TU301
PM0-45589	3167309	COLI-K12-63
PM0-45661	3285300	COLI-K12-65
PM-8809	1073357	COLI-K12-21 // TU-8423
PM0-10064	1926889	COLI-K12-38 // TU0-13435
PM0-45954	4079384	COLI-K12-81
PM0-46026	4414779	COLI-K12-88
PM0-1343	3939539	COLI-K12-79 // TU0-1183
PM0-2761	1160870	COLI-K12-23 // TU0-2581
PM0-5286	3244530	COLI-K12-65
PM0-7941	2481663	COLI-K12-49 // TU0-7561
PM0-44477	442972	COLI-K12-8
PM0-44549	641145	COLI-K12-12
PM0-9732	3527132	COLI-K12-70 // TU0-14479
PM0-9828	1582052	COLI-K12-31 // TU0-14545
PM0-44844	1328713	COLI-K12-26
PM0-44916	1493141	COLI-K12-29
PM00285	3909591	COLI-K12-78 // TU0-14693 // TU0-14692 // TU00202
PM00368	1317968	COLI-K12-26 // TU3
PM0-45209	2107742	COLI-K12-42
PM0-45278	2301819	COLI-K12-46
PM1026	1084161	COLI-K12-21 // TU866
PM404	3376694	COLI-K12-67 // TU00336
PM0-45573	3131937	COLI-K12-62
PM0-45645	3252296	COLI-K12-65
PM0-45938	4058276	COLI-K12-81
PM0-10048	1671914	COLI-K12-33 // TU0-8532
PM-8783	1130216	COLI-K12-22 // TU00273
PM0-46010	4324859	COLI-K12-86
PM0-1162	1830037	COLI-K12-36 // TU0-1002
PM0-2262	1173215	COLI-K12-23 // TU0-2082
PM0-5042	3904720	COLI-K12-78 // TU0-42515 // TU0-4802
PM0-7561	347695	COLI-K12-6 // TU0-7221
PM0-44461	384054	COLI-K12-7
PM0-44533	579067	COLI-K12-11
PM0-9712	1744226	COLI-K12-35 // TU0-8709
PM0-9804		TU0-14521
PM0-44828	1297675	COLI-K12-26
PM0-44900	1440924	COLI-K12-28
PM00259	2976972	COLI-K12-59 // TU00186
PM00352	847421	COLI-K12-17 // TU0-6649
PM0-45193	2087200	COLI-K12-41
PM0-45263	2263442	COLI-K12-45
PM00666	1286888	COLI-K12-25 // TU00511
PM331	2518752	COLI-K12-50 // TU0-6409
PM0-45557	3117281	COLI-K12-62
PM0-45629	3236392	COLI-K12-64
PM0-45922	4007037	COLI-K12-80
PM0-10030	1333851	COLI-K12-26 // TU0-14625
PM-8764	1823712	COLI-K12-36 // TU-8381
PM0-45994	4276341	COLI-K12-85
PM0-10544	2882341	COLI-K12-57 // TU0-13725
PM0-1983	1365969	COLI-K12-27 // TU0-1802
PM0-4762	3576885	COLI-K12-71 // TU0-4522
PM0-7183	4537951	COLI-K12-91 // TU0-42544 // TU0-6843
PM0-9687	3348599	COLI-K12-67 // TU0-8517
PM0-44517	557285	COLI-K12-11
PM0-44449	334292	COLI-K12-6
PM0-9785		TU0-12818
PM0-44813	1255333	COLI-K12-25
PM0-44884	1418284	COLI-K12-28
PM00233	3048794	COLI-K12-61 // TU00170
PM00335	366762	COLI-K12-7 // TU0-6508
PM00650	2057869	COLI-K12-41 // TU00498
PM0-45248	2230706	COLI-K12-44
PM0-45541	3087771	COLI-K12-61
PM222	3534661	COLI-K12-70 // TU162
PM0-45906	3946183	COLI-K12-79
PM0-45613	3208650	COLI-K12-64
PM0-10511	1846724	COLI-K12-37 // TU00356
PM0-10011	1017682	COLI-K12-20 // TU0-8677
PM0-46408	1772595	COLI-K12-35 // TU0-42694
PM0-45978	4204009	COLI-K12-84
PM0-9630	1921231	COLI-K12-38 // TU0-13431
PM0-1701	1975326	COLI-K12-39 // TU00303
PM0-44434	317621	COLI-K12-6
PM0-5862	4250466	COLI-K12-85 // TU00369
PM0-44797	1218176	COLI-K12-24
PM0-44501	507508	COLI-K12-10
PM00210	2848649	COLI-K12-57 // TU0-8344 // TU00154
PM0-9765		TU0-14495
PM00634	2531529	COLI-K12-50 // TU00481
PM0-44868	1391078	COLI-K12-27
PM0-45164	2026528	COLI-K12-40
PM00319	30775	COLI-K12-0 // TU0-6884
PM0-45525	3013078	COLI-K12-60
PM0-45233	2192197	COLI-K12-43
PM0-45893	3875638	COLI-K12-77
PM179	4231562	COLI-K12-84 // TU0-6552
PM0-10470	2278644	COLI-K12-45 // TU0-13556
PM0-45597	3170429	COLI-K12-63
PM0-46384	1104424	TU0-13122 // TU0-42668 // COLI-K12-22 // TU0-42664
PM-8824	1984799	COLI-K12-39 // TU-8438
PM0-9600	3984455	COLI-K12-79 // TU0-8518
PM0-45962	4104472	COLI-K12-82
PM0-44419	293255	COLI-K12-5
PM0-1352	3426962	COLI-K12-68 // TU0-1192
PM0-44781	1202106	COLI-K12-24
PM0-5423	2434912	COLI-K12-48 // TU0-5183
PM00185	3735493	COLI-K12-74 // TU00137
PM0-44485	475623	COLI-K12-9
PM00618	3490357	COLI-K12-70 // TU00463
PM0-9745	3094642	COLI-K12-62 // TU0-14491
PM0-45148	1977682	COLI-K12-39
PM0-44852	1337206	COLI-K12-26
PM0-45509	2986437	COLI-K12-59
PM00296	102867	COLI-K12-2 // TU00210
PM0-45877	3826844	COLI-K12-76
PM0-45217	2149040	COLI-K12-43
PM0-10443	2870923	COLI-K12-57
PM163	2520585	COLI-K12-50 // TU792
PM0-46366	829892	COLI-K12-16 // TU0-13050
PM0-45581	3159332	COLI-K12-63
PM0-44403	259527	COLI-K12-5
PM-8794	2011060	COLI-K12-40 // TU-8408
PM0-9579	2033804	COLI-K12-40 // TU0-13466
PM0-45946	4067386	COLI-K12-81
PM0-44765	1189163	COLI-K12-23 // TU0-41681
PM0-1282	940101	COLI-K12-18 // TU0-1122
PM00163	4434652	COLI-K12-88 // TU00120
PM0-5168	3544468	COLI-K12-71 // TU0-4928
PM00601	3088297	COLI-K12-61 // TU00453
PM0-44469	404947	COLI-K12-8
PM0-45132	1939745	COLI-K12-38
PM0-9721	661929	COLI-K12-13 // TU0-14470
PM0-45493	2969591	COLI-K12-59
PM0-44836	1313345	COLI-K12-26
PM0-45861	3781833	COLI-K12-75
PM00273	2708379	COLI-K12-54 // TU00194
PM0-10404		TU0-14759
PM0-45201	2101073	COLI-K12-42
PM0-46349	819081	COLI-K12-16 // TU0-13047
PM00674	3706717	COLI-K12-74 // TU00519
PM0-44387	231083	COLI-K12-4
PM0-45565	3130547	COLI-K12-62
PM0-9554	3484047	COLI-K12-69 // TU0-14396
PM0-45930	4022993	COLI-K12-80
PM0-44749	1161050	COLI-K12-23
PM-8774	2733983	COLI-K12-54 // TU-8391
PM00143	754181	COLI-K12-15 // TU00524
PM0-1061	1115932	COLI-K12-22 // TU0-901
PM0-45116	1919739	COLI-K12-38
PM0-4921	4492620	COLI-K12-90 // TU0-4681
PM00587	2866804	COLI-K12-57 // TU00440
PM0-9702	1271645	COLI-K12-25 // TU0-14458
PM0-45477	2917535	COLI-K12-58
PM0-44456	380074	COLI-K12-7
PM0-45845	3735257	COLI-K12-74
PM0-44820	1269614	COLI-K12-25
PM0-10365	3520950	COLI-K12-70 // TU0-13927
PM00249	148	COLI-K12-0 // TU0-42486 // TU00178
PM0-46330	789686	COLI-K12-15 // TU0-42588
PM0-45185	2061378	COLI-K12-41
PM0-44371	175052	COLI-K12-3
PM00658	3980387	COLI-K12-79 // TU00503
PM0-9516	3453541	COLI-K12-69 // TU0-14376
PM0-45549	3100272	COLI-K12-62
PM0-44733	1123325	COLI-K12-22
PM0-45914	4002254	COLI-K12-80
PM00124	4265105	COLI-K12-85 // TU00087
PM0-10528	265451	COLI-K12-5 // TU0-14803
PM0-45100	1892136	COLI-K12-37
PM0-4701		TU0-4461
PM00570	3599026	COLI-K12-72 // TU00426
PM0-9651	1257961	COLI-K12-25 // TU0-8689
PM0-45461	2862929	COLI-K12-57
PM0-44441	319417	COLI-K12-6
PM0-45829	3711006	COLI-K12-74
PM0-44805	1233990	COLI-K12-24
PM0-10338	2306663	COLI-K12-46 // TU0-13560
PM00222	1785185	COLI-K12-35 // TU00162
PM0-46312	3155567	COLI-K12-63 // TU0-13825
PM00642	3913246	COLI-K12-78 // TU00280
PM0-44356	131466	COLI-K12-2
PM0-45172	2037310	COLI-K12-40
PM0-9400	1927756	COLI-K12-38 // TU0-13436
PM0-45533	3041278	COLI-K12-61
PM0-44717	1094378	COLI-K12-21
PM0-45898	3897422	COLI-K12-78
PM00100	3995930	COLI-K12-80 // TU00071
PM0-10488	3326886	COLI-K12-66 // TU0-14794
PM0-45084	1873622	COLI-K12-37
PM0-46398	4071619	COLI-K12-81 // TU0-42686
PM00554	156224	COLI-K12-3 // TU00403
PM0-9620	2183849	COLI-K12-43 // TU0-13514
PM0-45445	2765562	COLI-K12-55
PM0-44427	310617	COLI-K12-6 // TU0-12880
PM0-45813	3654062	COLI-K12-73
PM0-44789	1209546	COLI-K12-24
PM0-10275	2543755	COLI-K12-51 // TU0-14714
PM00198	2874390	COLI-K12-57 // TU00146
PM0-46296	4350572	COLI-K12-87 // TU0-42545
PM00626	1999832	COLI-K12-40 // TU00471
PM0-44341	15380	COLI-K12-0
PM0-45156	1990074	COLI-K12-39
PM0-9365	497255	COLI-K12-9 // TU0-12951
PM0-45517	2998061	COLI-K12-60
PM0-44701	1050428	COLI-K12-21
PM0-45885	3841944	COLI-K12-77
PM00079	2693611	COLI-K12-54 // TU00057
PM0-10457	2689362	COLI-K12-53 // TU0-14775
PM0-45068	1839635	COLI-K12-36
PM0-46374	2708252	COLI-K12-54 // TU0-42640
PM00538	2796578	COLI-K12-56 // TU00394
PM0-44411	281447	COLI-K12-5
PM0-45429	2742664	COLI-K12-55
PM0-44773	1200663	COLI-K12-24
PM0-45797	3617097	COLI-K12-72
PM00173	3103673	COLI-K12-62 // TU00129
PM0-10241	3814668	COLI-K12-76 // TU0-14001
PM00609	104693	COLI-K12-2 // TU0-1424
PM0-46206	160751	COLI-K12-3 // TU0-42497
PM0-45140	1958008	COLI-K12-39
PM0-4422	3791919	COLI-K12-76 // TU0-4182
PM0-45501	2983763	COLI-K12-59
PM0-9308	402911	COLI-K12-8 // TU0-8872
PM0-45869	3797519	COLI-K12-76
PM0-44685	997544	COLI-K12-20
PM0-10431	4273441	COLI-K12-85 // TU0-8609
PM00051	4212256	COLI-K12-84 // TU00041
PM0-46357	3403194	COLI-K12-68 // TU0-42603
PM0-45052	1803125	COLI-K12-36
PM0-44395	240319	COLI-K12-4
PM00522	953148	COLI-K12-19 // TU00384
PM0-9567	2836036	COLI-K12-56 // TU0-14406
PM0-45413	2710898	COLI-K12-54
PM0-44757	1174597	COLI-K12-23
PM0-45781	3600275	COLI-K12-72
PM00152	3488243	COLI-K12-69 // TU00111
PM0-10206	256502	COLI-K12-5 // TU0-12857
PM0-45124	1923388	COLI-K12-38
PM0-46177	84154	COLI-K12-1 // TU0-42475
PM00596	922433	COLI-K12-18 // TU00447
PM0-3921	4285618	COLI-K12-85 // TU0-3721
PM0-45485	2945295	COLI-K12-59
PM0-9061	4554879	COLI-K12-91 // TU0-8625
PM0-45853	3755903	COLI-K12-75
PM0-44669	946367	COLI-K12-18
PM0-10377	651262	COLI-K12-13 // TU0-14750
PM0-3841	161515	COLI-K12-3 // TU00358
PM0-46338	1873624	COLI-K12-37 // TU0-8713
PM0-8926	1185046	COLI-K12-23 // TU0-8490
PM0-44379	193338	COLI-K12-3
PM0-44666	946343	COLI-K12-18
PM0-9540	3399378	COLI-K12-68 // TU0-14390 // TU0-14387
PM00030	4380435	COLI-K12-87 // TU00023
PM0-44741	1145851	COLI-K12-22
PM0-45033	1747593	COLI-K12-35
PM00135	2307467	COLI-K12-46 // TU00073
PM00502	4446317	COLI-K12-89 // TU0-7061
PM0-45108	1908149	COLI-K12-38
PM0-45394	2642982	COLI-K12-53
PM00579	1860550	COLI-K12-37 // TU0-4907
PM0-45762	3535198	COLI-K12-70
PM0-45469	2897629	COLI-K12-58
PM0-10182	4368806	COLI-K12-87 // TU0-14672
PM0-45837	3718833	COLI-K12-74
PM0-46131	582879	COLI-K12-11 // TU0-42454
PM0-10354	4390759	COLI-K12-88 // TU0-14738
PM0-36256	4273187	COLI-K12-85 // TU0-8608
PM0-46322	405579	COLI-K12-8 // TU0-42568
PM0-8866	21383	COLI-K12-0 // TU00291
PM0-44363	148910	COLI-K12-2
PM0-44650	889163	COLI-K12-17
PM0-9420	3338233	COLI-K12-66 // TU0-36430 // TU0-14290
PM00011	784814	COLI-K12-15 // TU00009
PM0-44725	1104553	COLI-K12-22
PM0-45017	1719038	COLI-K12-34
PM00109	4029036	COLI-K12-80 // TU00215
PM00485	4120377	COLI-K12-82 // TU00287
PM0-45092	1877384	COLI-K12-37
PM0-45378	2562422	COLI-K12-51
PM00562	3325782	COLI-K12-66 // TU00277
PM0-45746	3509644	COLI-K12-70
PM0-45453	2797109	COLI-K12-56
PM0-10162	4002747	COLI-K12-80 // TU0-14045
PM0-45821	3694390	COLI-K12-74
PM0-46111	4628589	COLI-K12-92
PM0-10286	2241870	COLI-K12-44 // TU0-13539
PM0-36241	1839456	COLI-K12-36 // TU0-8641
PM0-46304	2597828	COLI-K12-52 // TU0-42559
PM0-8749	1288329	COLI-K12-25 // TU0-8367
PM0-44349	57268	COLI-K12-1
PM0-44633	844887	COLI-K12-16
PM0-9377	1993741	COLI-K12-40 // TU0-8716
PM0-9994	674216	COLI-K12-13 // TU0-8560
PM0-44709	1055405	COLI-K12-21
PM0-45001	1667657	COLI-K12-33
PM00089	4098782	COLI-K12-82 // TU00064
PM00468	3882134	COLI-K12-77 // TU00340
PM0-45076	1852948	COLI-K12-37
PM0-45362	2516397	COLI-K12-50
PM00546	3705893	COLI-K12-74 // TU00262
PM982	4336065	COLI-K12-86 // TU821
PM0-45437	2757000	COLI-K12-55
PM0-45730	3437190	COLI-K12-68
PM0-45805	3630618	COLI-K12-72
PM0-10143	3482333	COLI-K12-69 // TU0-13920
PM0-10251	3657107	COLI-K12-73 // TU0-13964
PM0-46095	4592760	COLI-K12-92
PM0-46264	1878824	COLI-K12-37 // TU0-42526
PM0-36227	507415	COLI-K12-10 // TU0-8524
PM0-44333	5030	COLI-K12-0
PM0-8720	2011117	COLI-K12-40 // TU0-8340
PM0-9329	1786408	COLI-K12-35 // TU0-14254
PM0-44618	799843	COLI-K12-16
PM0-44693	1027020	COLI-K12-20
PM0-9978	443882	COLI-K12-8 // TU0-8555
PM00064	1019414	COLI-K12-20 // TU00048
PM0-44985	1639789	COLI-K12-32
PM0-45060	1811212	COLI-K12-36
PM00449	3590449	COLI-K12-72 // TU0-5982
PM00530	1063056	COLI-K12-21 // TU00387
PM0-45346	2471594	COLI-K12-49
PM0-45421	2739369	COLI-K12-54
PM881	3611651	COLI-K12-72 // TU00308
PM0-45789	3603721	COLI-K12-72
PM0-45714	3401302	COLI-K12-68
PM0-10222	849432	COLI-K12-17 // TU0-14688
PM0-10124	3151551	COLI-K12-63 // TU0-13822
PM0-46188	1014880	COLI-K12-20 // TU0-42483
PM0-46079	4535726	COLI-K12-90
PM0-4203	621415	COLI-K12-12 // TU0-3963
PM0-36203	367760	COLI-K12-7 // TU0-36427
PM0-9248	849642	COLI-K12-17 // TU0-8812
PM0-8621	1946209	COLI-K12-39 // TU0-8241
PM0-44677	959461	COLI-K12-19
PM0-44603	773867	COLI-K12-15
PM00043	4131835	COLI-K12-82 // TU00034
PM0-9962	164721	COLI-K12-3 // TU0-12820
PM0-45044	1768950	COLI-K12-35
PM0-44969	1612804	COLI-K12-32
PM00514	4164390	COLI-K12-83 // TU0-1182
PM00433	3208668	COLI-K12-64 // TU00472 // TU00352
PM0-45405	2666075	COLI-K12-53
PM0-45330	2438263	COLI-K12-48
PM0-45770	3578882	COLI-K12-71
PM68	3728830	COLI-K12-74 // TU67
PM0-10191	4447709	COLI-K12-89 // TU0-8492
PM0-45698	3378141	COLI-K12-67
PM0-46156	852287	COLI-K12-17 // TU0-42460
PM0-10106	2817295	COLI-K12-56 // TU0-13716
PM0-3665	4110892	COLI-K12-82 // TU0-3465
PM0-46063	4501572	COLI-K12-90
PM0-8909	1710695	COLI-K12-34 // TU0-8473
PM0-36160	3334908	COLI-K12-66 // TU0-13888
PM0-44658	915435	COLI-K12-18
PM0-8525	3717454	COLI-K12-74 // TU0-8145
PM00020	2244951	COLI-K12-45 // TU00015
PM0-44586	688445	COLI-K12-13
PM0-45025	1737873	COLI-K12-34
PM0-9879	4601057	COLI-K12-92 // TU0-14213
PM00493	4161318	COLI-K12-83 // TU00430
PM0-44953	1552018	COLI-K12-31
PM0-45386	2627208	COLI-K12-52
PM00415	2683819	COLI-K12-53 // TU681
PM0-45754	3524425	COLI-K12-70
PM0-45314	2386609	COLI-K12-47
PM0-10174	4225625	COLI-K12-84 // TU0-14107
PM591	2632219	COLI-K12-52 // TU491
PM0-46121	1360752	COLI-K12-27 // TU0-13211
PM0-45682	3335005	COLI-K12-66
PM0-36249	2627275	COLI-K12-52 // TU0-13647
PM0-10087	2463157	COLI-K12-49 // TU0-8537
PM0-8843	1703231	COLI-K12-34 // TU0-8456
PM0-46047	4472119	COLI-K12-89
PM0-44642	858327	COLI-K12-17
PM0-3564	4164507	COLI-K12-83 // TU0-3364
PM00003	70075	COLI-K12-1 // TU00214
PM0-8202	882731	COLI-K12-17 // TU0-7822
PM0-45009	1691030	COLI-K12-33
PM0-44570	675795	COLI-K12-13
PM00477	3953258	COLI-K12-79 // TU0-6651
PM0-9852		TU0-13929
PM0-45370	2548700	COLI-K12-51
PM0-44937	1515260	COLI-K12-30
PM0-45738	3497460	COLI-K12-70
PM00389	1993430	COLI-K12-39 // TU0-6686
PM0-10152	3810726	COLI-K12-76 // TU0-14356
PM0-45298	2363778	COLI-K12-47
PM0-46103	4604296	COLI-K12-92
PM506	3558779	COLI-K12-71 // TU404
PM0-36234	1168067	COLI-K12-23 // TU0-8684
PM0-45666	3296229	COLI-K12-66
PM0-8734	1440939	COLI-K12-28 // TU0-8353
PM0-10069	1997532	COLI-K12-40 // TU0-13453
PM0-44625	830006	COLI-K12-16
PM0-46031	4425540	COLI-K12-88
PM0-9986	502519	COLI-K12-10 // TU0-12952
PM0-2921	2550263	COLI-K12-51 // TU0-2741
PM0-44993	1653714	COLI-K12-33
PM0-7983	533131	COLI-K12-10 // TU0-7603
PM00459	3879884	COLI-K12-77 // TU0-3302
PM0-44554	657221	COLI-K12-13
PM0-45354	2507475	COLI-K12-50
PM0-9833		TU0-14550
PM933	4105497	COLI-K12-82 // TU788
PM0-44921	1494679	COLI-K12-30
PM0-45722	3411655	COLI-K12-68
PM00373	1755407	COLI-K12-35 // TU0-6509
PM0-10132	3325781	COLI-K12-66 // TU0-8577
PM0-45282	2304868	COLI-K12-46
PM0-46087	4562825	COLI-K12-91
PM437	576093	COLI-K12-11 // TU356
PM0-3622	492933	COLI-K12-9 // TU0-3422
PM0-45650	3265212	COLI-K12-65
PM0-8661	1124745	COLI-K12-22 // TU0-8281
PM0-10053	1722703	COLI-K12-34 // TU0-13356
PM0-44610	784596	COLI-K12-15
PM0-46015	4354436	COLI-K12-87
PM0-9970	309300	COLI-K12-6 // TU0-14611
PM0-2522	3056571	COLI-K12-61 // TU0-2342
PM0-44977	1622567	COLI-K12-32
PM0-7701	1823008	COLI-K12-36 // TU0-7361
PM00441	3325753	COLI-K12-66 // TU00414
PM0-44538	605446	COLI-K12-12
PM0-45338	2460824	COLI-K12-49
PM0-9811		TU0-14528
PM70	3729092	COLI-K12-74 // TU00374
PM0-44905	1480951	COLI-K12-29
PM0-45706	3387499	COLI-K12-67
PM00357	1019410	COLI-K12-20 // TU0-4742
PM0-10115	2923343	COLI-K12-58 // TU0-13738
PM0-45268	2268700	COLI-K12-45
PM0-46071	4509662	COLI-K12-90
PM336	3646535	COLI-K12-73 // TU00239
PM0-36186	3905688	COLI-K12-78 // TU0-36420
PM0-45634	3248497	COLI-K12-65
PM0-8561	1804347	COLI-K12-36 // TU0-8181
PM0-10036	1396683	COLI-K12-28 // TU0-13221
PM0-44594	741845	COLI-K12-14
PM0-45999	4292401	COLI-K12-86
PM0-9892	312029	COLI-K12-6 // TU0-12881
PM0-2021	2347521	COLI-K12-47 // TU0-1841
PM0-44961	1575690	COLI-K12-31
PM0-7361	913068	TU0-42650 // COLI-K12-18 // TU0-7021
PM00423	2802777	COLI-K12-56 // TU702
PM0-44522	565324	COLI-K12-11
PM0-45322	2405430	COLI-K12-48 // TU0-13579
PM0-9792		TU0-14512
PM642	1830423	COLI-K12-36 // TU542
PM0-44889	1423337	COLI-K12-28
PM0-45690	3364742	COLI-K12-67
PM00340	494299	COLI-K12-9 // TU00401
PM0-10096	2614048	COLI-K12-52 // TU0-14645
PM0-45252	2241095	COLI-K12-44
PM0-46055	4484211	COLI-K12-89
PM261	1333448	COLI-K12-26 // TU795
PM0-36140	2311474	COLI-K12-46 // TU0-14359
PM0-45618	3219277	COLI-K12-64
PM0-8361	1250167	COLI-K12-25 // TU0-7981
PM0-10017	1120243	COLI-K12-22 // TU0-14621
PM0-44578	678639	COLI-K12-13
PM0-45983	4220714	COLI-K12-84
PM0-9865	4395123	COLI-K12-88 // TU0-14562
PM0-1728	1970740	COLI-K12-39 // TU0-1547
PM0-44945	1530882	COLI-K12-30
PM0-6484	2940718	COLI-K12-58 // TU0-6184
PM00406	2435934	COLI-K12-48 // TU0-5184
PM0-44506	518553	COLI-K12-10
PM0-45306	2380676	COLI-K12-47
PM0-9770		TU0-14372
PM582	3272956	COLI-K12-65 // TU482
PM0-44873	1407362	COLI-K12-28
PM0-45674	3307062	COLI-K12-66
PM00324	122034	COLI-K12-2 // TU00522
PM0-10078	2174454	COLI-K12-43 // TU0-14638
PM0-45238	2212807	COLI-K12-44
PM0-46039	4435640	COLI-K12-88
PM191		TU00362
PM0-3325	2998279	COLI-K12-60 // TU0-3145
PM0-45602	3183333	COLI-K12-63
PM0-8163	578144	COLI-K12-11 // TU0-7783
PM0-10	2194467	COLI-K12-44 // TU0-9
PM0-44562	661622	COLI-K12-13
PM0-45967	4135887	COLI-K12-82
PM0-9843		TU0-7743
PM0-1422	4446451	COLI-K12-89 // TU0-1261
PM0-44929	1504178	COLI-K12-30
PM0-5561	2458533	COLI-K12-49 // TU0-5321
PM00381	1910642	COLI-K12-38 // TU00400
PM0-44490	489942	COLI-K12-9
PM0-45290	2342229	COLI-K12-46
PM0-9754		TU0-14364
PM450	1570096	COLI-K12-31 // TU369
PM0-44857	1349920	COLI-K12-27
PM0-45658	3285298	COLI-K12-65
PM00305	4352828	COLI-K12-87 // TU00221
PM0-10061	1864789	COLI-K12-37 // TU0-14632
PM0-45222	2166567	COLI-K12-43
PM0-46023	4377497	COLI-K12-87
PM168	1057207	COLI-K12-21 // TU793
PM0-2701	840871	COLI-K12-16 // TU0-2521
PM0-45586	3165753	COLI-K12-63
PM0-7881	4158825	COLI-K12-83 // TU0-7521
PM-8805	3891852	COLI-K12-78 // TU-8419
PM0-44546	632747	COLI-K12-12
